StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Y/N,Consent Y/N_DO,Q110,Q110_DO,Mental,Mental_DO,MeditationExp,MeditationExp_DO,FirstLanguage,EngLevel,EngLevel_DO,Ipip1,Ipip2,Ipip3,Ipip4,Ipip5,Ipip6,Ipip7,Ipip8,Ipip9,Ipip10,Ipip11,Ipip12,Ipip13,Ipip14,Ipip15,Ipip16,Ipip17,Ipip18,Ipip19,Ipip20,lock14d_First Click,lock14d_Last Click,lock14d_Page Submit,lock14d_Click Count,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q129_First Click,Q129_Last Click,Q129_Page Submit,Q129_Click Count,Stai1,Stai2,Stai3,Stai4,Stai5,Stai6,Stai7,Stai8,Stai9,Stai10,Stai11,Stai12,Stai13,Stai14,Stai15,Stai16,Stai17,Stai18,Stai19,Stai20,Sam1,Sam2,Sam3,Age,Gender,Gender_5_TEXT,Gender_DO,CountryBirth,CountryLive,Student,Student_DO,Univ,Job,FL_158_DO,FL_123_DO,Moderator-Neuroticism_DO,DVs_DO
2022-03-27 18:25:59,2022-03-27 18:26:53,0,100,53,1,2022-03-27 18:26:53,R_0lIR3OnarS34aKl,anonymous,WITT,1,2|1,1,2|1,1,1|4,2,1|2,English,3,5|3|2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 18:16:34,2022-03-27 18:44:10,0,100,1655,1,2022-03-27 18:44:10,R_3DqJfv25gudUf4P,anonymous,MACQ,1,1|2,1,2|1,4,4|1,2,2|1,English,3,2|3|5|1,2,1,2,2,2,3,3,3,3,4,4,5,4,3,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,4,3,2,1,4,1,1,3,1,4,3,1,1,2,4,4,1,1,3,4,8,2,7,19,2,,5|3|1|2|4|6,Australia,"Australia ",2,2|1,"Macquarie university ",,,,NeuroticismIntro|Ipip20|Ipip1|Ipip18|Ipip6|Ipip3|Ipip12|Ipip19|Ipip13|Ipip11|Ipip4|Ipip10|Ipip14|Ipip7|Ipip15|Ipip2|Ipip16|Ipip9|Ipip8|Ipip17|Ipip5,StressIntro|Stai14|Stai1|Stai15|Stai2|Stai7|Stai6|Stai19|Stai20|Stai8|Stai16|Stai3|Stai11|Stai17|Stai10|Stai12|Stai5|Stai4|Stai13|Stai9|Stai18
2022-03-27 18:26:59,2022-03-27 18:47:43,0,100,1244,1,2022-03-27 18:47:44,R_1eVsIUt3oFxT2SN,anonymous,WITT,1,1|2,2,2|1,1,1|4,1,1|2,English,2,5|1|2|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 18:53:44,2022-03-27 18:55:21,0,100,96,1,2022-03-27 18:55:21,R_1P5Kxz3tbKItWuL,anonymous,MACQ,1,2|1,1,2|1,4,1|4,1,2|1,English,3,1|3|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 18:59:40,2022-03-27 19:00:41,0,100,60,1,2022-03-27 19:00:41,R_2rArgKPt7C3xN5x,anonymous,NEWF,1,2|1,2,1|2,1,4|1,2,1|2,English,3,2|1|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 19:02:17,2022-03-27 19:04:00,0,100,103,1,2022-03-27 19:04:01,R_a8AwgHS5ZLcM9pv,anonymous,MACQ,1,1|2,1,2|1,4,1|4,2,1|2,Vietnamese,5,1|2|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 18:47:36,2022-03-27 19:07:50,0,100,1213,1,2022-03-27 19:07:51,R_3e3KHbCnOMmfTZx,anonymous,CONN,1,1|2,1,1|2,4,1|4,2,1|2,english,3,5|1|3|2,1,1,1,1,3,1,2,3,1,3,5,5,5,4,5,4,5,4,2,1,,,,,,,,,,,,,,,,,,,,,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,9,8,9,18,2,,2|4|5|3|6|1,united states,united states,2,1|2,central connecticut state university,,,,NeuroticismIntro|Ipip20|Ipip17|Ipip15|Ipip16|Ipip19|Ipip18|Ipip14|Ipip4|Ipip9|Ipip7|Ipip5|Ipip12|Ipip3|Ipip1|Ipip13|Ipip11|Ipip10|Ipip6|Ipip8|Ipip2,StressIntro|Stai13|Stai16|Stai20|Stai17|Stai14|Stai18|Stai10|Stai11|Stai19|Stai12|Stai2|Stai5|Stai4|Stai9|Stai8|Stai1|Stai15|Stai6|Stai7|Stai3
2022-03-27 18:57:34,2022-03-27 19:16:50,0,100,1155,1,2022-03-27 19:16:50,R_3smt3AJav3bMgV4,anonymous,ILLI,1,1|2,1,1|2,4,1|4,2,1|2,English,3,1|3|2|5,2,3,2,3,2,2,4,3,3,4,3,4,3,4,4,2,2,4,2,4,,,,,0,0,1.11,0,,,,,10.42,10.42,889.226,1,,,,,2,2,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,3,3,6,6,4,18,2,,6|2|5|4|1|3,USA,USA,2,1|2,SIUC,,,Condition5b:TheOldMan,NeuroticismIntro|Ipip10|Ipip12|Ipip19|Ipip1|Ipip2|Ipip17|Ipip8|Ipip7|Ipip4|Ipip11|Ipip18|Ipip13|Ipip6|Ipip20|Ipip16|Ipip15|Ipip5|Ipip14|Ipip9|Ipip3,StressIntro|Stai20|Stai11|Stai14|Stai19|Stai6|Stai8|Stai4|Stai2|Stai18|Stai3|Stai10|Stai17|Stai15|Stai5|Stai16|Stai12|Stai9|Stai7|Stai13|Stai1
2022-03-27 19:04:05,2022-03-27 19:43:20,0,100,2354,1,2022-03-27 19:43:20,R_2wM0V8nPLAt7JcX,anonymous,MACQ,1,2|1,1,1|2,4,1|4,2,1|2,Vietnamese,2,5|3|2|1,2,2,2,4,2,3,2,2,4,3,2,3,4,4,3,4,4,3,4,1,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,1,1,2,1,3,3,2,1,1,3,3,1,1,2,3,7,5,6,19,2,,5|3|1|2|6|4,Vietnam,Australia,2,2|1,Macquarie University,,,,NeuroticismIntro|Ipip6|Ipip18|Ipip13|Ipip16|Ipip3|Ipip4|Ipip9|Ipip5|Ipip14|Ipip1|Ipip2|Ipip7|Ipip8|Ipip20|Ipip12|Ipip15|Ipip19|Ipip17|Ipip10|Ipip11,StressIntro|Stai11|Stai12|Stai3|Stai1|Stai16|Stai13|Stai20|Stai4|Stai6|Stai14|Stai18|Stai5|Stai10|Stai15|Stai19|Stai2|Stai8|Stai7|Stai17|Stai9
2022-03-27 19:37:49,2022-03-27 20:03:05,0,100,1515,1,2022-03-27 20:03:05,R_PA4JAu09A7f64RH,anonymous,SPRI,1,2|1,1,2|1,4,4|1,2,1|2,"English ",3,2|5|1|3,4,2,4,4,2,4,4,4,5,5,4,5,3,4,2,4,4,3,4,5,,,,,,,,,,,,,,,,,,,,,4,2,1,3,3,1,3,4,1,4,3,2,1,3,4,3,3,1,3,2,6,4,6,19,2,,4|6|5|2|1|3,USA,USA,2,1|2,"Springfield College ",,,,NeuroticismIntro|Ipip18|Ipip8|Ipip5|Ipip14|Ipip1|Ipip7|Ipip9|Ipip4|Ipip17|Ipip19|Ipip2|Ipip13|Ipip3|Ipip6|Ipip20|Ipip10|Ipip15|Ipip16|Ipip11|Ipip12,StressIntro|Stai5|Stai13|Stai12|Stai1|Stai20|Stai9|Stai19|Stai10|Stai7|Stai2|Stai17|Stai4|Stai11|Stai14|Stai6|Stai16|Stai3|Stai8|Stai18|Stai15
2022-03-27 19:43:41,2022-03-27 20:03:13,0,100,1171,1,2022-03-27 20:03:14,R_2tJyb0mxFMBuTzA,anonymous,QUEE,1,2|1,1,2|1,4,4|1,2,2|1,Cantonese,2,1|3|5|2,4,4,4,5,4,4,3,4,5,4,4,5,3,3,3,4,5,4,3,3,10.398,10.398,856.63,1,,,,,,,,,,,,,,,,,2,2,1,2,2,1,2,2,1,2,2,1,3,2,2,1,1,2,2,2,7,6,2,21,2,,3|4|5|6|1|2,Hong Kong,Australia,2,2|1,University of Queensland,,,,NeuroticismIntro|Ipip2|Ipip1|Ipip3|Ipip6|Ipip13|Ipip16|Ipip10|Ipip12|Ipip20|Ipip8|Ipip19|Ipip4|Ipip17|Ipip9|Ipip7|Ipip11|Ipip18|Ipip5|Ipip15|Ipip14,StressIntro|Stai19|Stai13|Stai12|Stai5|Stai18|Stai11|Stai3|Stai7|Stai15|Stai4|Stai17|Stai6|Stai1|Stai9|Stai16|Stai8|Stai14|Stai20|Stai2|Stai10
2022-03-27 20:12:11,2022-03-27 20:13:35,0,100,83,1,2022-03-27 20:13:35,R_1f6OfnDs9N0ZKQi,anonymous,MACQ,1,2|1,2,1|2,4,4|1,2,1|2,English,3,2|5|1|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 20:01:31,2022-03-27 20:22:55,0,100,1284,1,2022-03-27 20:22:56,R_3QR7OOcnMvE1qPH,anonymous,QUEE,1,1|2,1,1|2,4,1|4,2,2|1,English,3,3|5|1|2,4,4,4,5,4,4,1,5,2,2,2,2,2,2,2,2,4,2,3,4,,,,,0,0,1.11,0,,,,,,,,,949.85,949.85,955.22,1,3,3,1,1,4,1,1,2,1,4,3,1,1,1,4,3,1,2,3,4,7,3,7,19,2,,3|2|6|1|5|4,Australia,Australia,2,1|2,"University of Queensland ",,,Condition5c:Smith,NeuroticismIntro|Ipip15|Ipip16|Ipip3|Ipip8|Ipip18|Ipip1|Ipip9|Ipip17|Ipip6|Ipip2|Ipip10|Ipip12|Ipip20|Ipip11|Ipip13|Ipip5|Ipip14|Ipip4|Ipip19|Ipip7,StressIntro|Stai3|Stai12|Stai9|Stai7|Stai4|Stai19|Stai6|Stai13|Stai1|Stai15|Stai8|Stai20|Stai14|Stai2|Stai5|Stai18|Stai17|Stai11|Stai16|Stai10
2022-03-27 20:21:20,2022-03-27 20:26:17,0,100,296,1,2022-03-27 20:26:17,R_3hAUxnGHnQh8Aiu,anonymous,IDAH,1,2|1,2,1|2,4,4|1,1,1|2,english,3,5|2|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 20:06:47,2022-03-27 20:26:26,0,100,1178,1,2022-03-27 20:26:26,R_1KfITI945LZEqmn,anonymous,MACQ,1,1|2,1,1|2,4,1|4,2,1|2,"English ",3,2|3|5|1,3,3,3,3,4,4,4,4,3,5,3,4,2,3,2,4,3,2,3,2,,,,,,,,,,,,,,,,,,,,,3,2,1,2,2,1,4,3,2,2,1,3,1,3,2,4,1,2,2,3,6,6,5,18,2,,4|5|2|3|1|6,australia,australia,2,1|2,macquarie,,,,NeuroticismIntro|Ipip9|Ipip12|Ipip10|Ipip2|Ipip19|Ipip15|Ipip11|Ipip4|Ipip16|Ipip14|Ipip5|Ipip3|Ipip6|Ipip7|Ipip17|Ipip8|Ipip13|Ipip20|Ipip1|Ipip18,StressIntro|Stai7|Stai14|Stai3|Stai10|Stai20|Stai9|Stai16|Stai15|Stai18|Stai1|Stai4|Stai11|Stai2|Stai19|Stai6|Stai17|Stai12|Stai13|Stai5|Stai8
2022-03-27 20:14:44,2022-03-27 20:33:04,0,100,1100,1,2022-03-27 20:33:05,R_UZ5A7itTXBS5mKt,anonymous,MACQ,1,2|1,1,1|2,4,4|1,2,1|2,English,3,2|3|1|5,3,1,3,3,2,3,2,3,3,4,3,4,3,3,4,4,3,2,5,4,,,,,,,,,,,,,,,,,,,,,3,3,1,1,3,1,1,3,1,3,1,1,1,1,3,3,1,1,3,4,7,2,8,37,1,,1|2|4|6|3|5,Australia,Australia,2,1|2,Macquarie University,,,,NeuroticismIntro|Ipip2|Ipip19|Ipip15|Ipip13|Ipip12|Ipip18|Ipip9|Ipip16|Ipip14|Ipip5|Ipip10|Ipip8|Ipip4|Ipip17|Ipip3|Ipip20|Ipip6|Ipip7|Ipip11|Ipip1,StressIntro|Stai12|Stai19|Stai18|Stai20|Stai11|Stai1|Stai2|Stai6|Stai3|Stai9|Stai16|Stai17|Stai15|Stai14|Stai5|Stai8|Stai7|Stai10|Stai13|Stai4
2022-03-27 20:26:27,2022-03-27 20:49:19,0,100,1372,1,2022-03-27 20:49:20,R_2Va00o3b0eCImsK,anonymous,IDAH,1,1|2,1,2|1,4,1|4,2,1|2,English,3,2|3|5|1,2,2,2,2,2,2,2,3,2,2,4,4,3,3,5,2,4,2,4,4,,,,,,,,,,,,,,,,,,,,,4,4,1,1,4,1,1,4,1,4,3,1,1,1,4,1,1,1,4,4,9,1,7,44,2,,4|6|2|3|5|1,United States,United States,2,1|2,Idaho State Universtiy,,,,NeuroticismIntro|Ipip9|Ipip16|Ipip1|Ipip11|Ipip3|Ipip17|Ipip4|Ipip10|Ipip15|Ipip18|Ipip5|Ipip20|Ipip8|Ipip14|Ipip12|Ipip2|Ipip19|Ipip6|Ipip13|Ipip7,StressIntro|Stai9|Stai6|Stai16|Stai14|Stai12|Stai15|Stai17|Stai5|Stai11|Stai1|Stai4|Stai20|Stai8|Stai3|Stai19|Stai18|Stai10|Stai2|Stai13|Stai7
2022-03-27 20:50:29,2022-03-27 21:11:27,0,100,1258,1,2022-03-27 21:11:27,R_1F2L5cNaQKXAfE7,anonymous,IDAH,1,1|2,1,1|2,4,1|4,2,1|2,English,3,1|2|3|5,2,2,2,3,2,2,2,2,2,3,4,4,3,2,4,3,2,3,4,2,0,0,1011.512,0,,,,,,,,,,,,,,,,,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,9,1,7,44,2,,6|2|4|1|5|3,United States,United States,2,2|1,Idaho State University,,,,NeuroticismIntro|Ipip8|Ipip4|Ipip20|Ipip14|Ipip6|Ipip11|Ipip5|Ipip18|Ipip2|Ipip9|Ipip3|Ipip12|Ipip17|Ipip19|Ipip13|Ipip10|Ipip15|Ipip7|Ipip16|Ipip1,StressIntro|Stai3|Stai18|Stai20|Stai12|Stai7|Stai10|Stai1|Stai19|Stai6|Stai15|Stai16|Stai9|Stai11|Stai2|Stai5|Stai14|Stai4|Stai13|Stai17|Stai8
2022-03-27 21:30:01,2022-03-27 21:31:06,0,100,65,1,2022-03-27 21:31:07,R_3lXncTBEuWqFaYg,anonymous,EN,1,2|1,2,2|1,4,4|1,2,1|2,English,1,1|5|2|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 21:31:30,2022-03-27 21:32:54,0,100,84,1,2022-03-27 21:32:54,R_3hgrixgW2txPjlP,anonymous,EN,1,1|2,1,2|1,4,4|1,1,1|2,English,1,3|1|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 21:14:41,2022-03-27 21:37:21,0,100,1360,1,2022-03-27 21:37:21,R_3EgN3Gt2rfMncqf,anonymous,IDAH,1,2|1,1,2|1,4,4|1,2,1|2,English,3,1|3|5|2,2,1,2,2,4,2,1,4,1,4,4,4,4,5,4,4,5,5,4,3,,,,,0,0,1.011,0,320.127,949.701,1026.063,7,,,,,,,,,4,4,1,2,4,1,1,4,1,4,4,1,1,3,4,4,1,1,4,4,7,4,6,19,2,,4|3|6|2|1|5,United states,United states,2,1|2,"Idaho state university ",,,Condition5a:Silverview,NeuroticismIntro|Ipip19|Ipip11|Ipip3|Ipip5|Ipip20|Ipip12|Ipip16|Ipip17|Ipip7|Ipip14|Ipip8|Ipip10|Ipip9|Ipip6|Ipip13|Ipip1|Ipip4|Ipip15|Ipip18|Ipip2,StressIntro|Stai13|Stai4|Stai15|Stai17|Stai14|Stai5|Stai9|Stai2|Stai1|Stai8|Stai16|Stai3|Stai18|Stai6|Stai10|Stai11|Stai12|Stai20|Stai7|Stai19
2022-03-24 19:00:06,2022-03-27 21:38:18,0,100,268691,1,2022-03-27 21:38:18,R_27HEAcEFBBf4aDV,anonymous,SUNY,1,1|2,1,1|2,4,4|1,2,2|1,English,3,1|3|5|2,2,4,2,2,5,4,4,5,4,5,4,4,4,2,4,2,4,2,2,4,,,,,,,,,,,,,,,,,,,,,3,3,1,1,3,1,2,3,1,3,2,1,1,1,4,3,1,2,3,3,7,3,5,19,2,,6|2|4|3|5|1,"United States ",United States,2,2|1,SUNY Brockport,,,,NeuroticismIntro|Ipip8|Ipip11|Ipip15|Ipip16|Ipip18|Ipip6|Ipip3|Ipip20|Ipip7|Ipip13|Ipip14|Ipip10|Ipip12|Ipip4|Ipip5|Ipip19|Ipip1|Ipip9|Ipip2|Ipip17,StressIntro|Stai9|Stai14|Stai20|Stai19|Stai5|Stai10|Stai2|Stai7|Stai17|Stai12|Stai16|Stai18|Stai15|Stai13|Stai11|Stai1|Stai8|Stai3|Stai4|Stai6
2022-03-27 21:52:28,2022-03-27 21:53:08,0,100,39,1,2022-03-27 21:53:08,R_11WRBrhMPVfK49z,anonymous,EN,1,2|1,1,1|2,4,4|1,2,1|2,english,1,1|5|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 22:04:05,2022-03-27 22:04:16,0,100,10,1,2022-03-27 22:04:17,R_12FQVOEjRhBIIGu,anonymous,QUEE,2,2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 22:03:54,2022-03-27 22:05:38,0,100,104,1,2022-03-27 22:05:39,R_pRSqxEunPNJTN1T,anonymous,QUEE,1,1|2,1,1|2,4,1|4,1,2|1,"English ",3,2|3|1|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 22:11:21,2022-03-27 22:12:11,0,100,50,1,2022-03-27 22:12:11,R_zcgeTQnW7hz5I0p,anonymous,CALI,1,2|1,1,2|1,1,4|1,2,2|1,English,3,3|2|1|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 23:01:08,2022-03-27 23:12:52,0,100,703,1,2022-03-27 23:12:53,R_2fk5a2FCUoqZSHb,anonymous,MACQ,1,2|1,2,2|1,4,1|4,2,1|2,"English ",3,5|2|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27 23:12:58,2022-03-27 23:32:22,0,100,1163,1,2022-03-27 23:32:22,R_3Pui92OZ66z0hhY,anonymous,MACQ,1,1|2,1,2|1,4,4|1,2,1|2,English,3,3|1|5|2,1,3,1,2,2,2,1,2,1,1,4,4,5,4,3,4,5,4,4,5,0,0,842.267,0,,,,,,,,,,,,,,,,,4,4,1,1,4,1,1,4,1,4,3,1,1,1,4,4,1,1,4,4,9,2,7,21,2,,4|6|5|3|2|1,Australia,Australia,2,1|2,Macquarie University,,,,NeuroticismIntro|Ipip6|Ipip14|Ipip13|Ipip20|Ipip19|Ipip16|Ipip11|Ipip3|Ipip10|Ipip4|Ipip7|Ipip12|Ipip2|Ipip18|Ipip17|Ipip1|Ipip9|Ipip8|Ipip5|Ipip15,StressIntro|Stai2|Stai13|Stai15|Stai12|Stai3|Stai6|Stai20|Stai4|Stai11|Stai19|Stai5|Stai18|Stai14|Stai10|Stai7|Stai8|Stai16|Stai1|Stai17|Stai9
2022-03-28 00:04:02,2022-03-28 00:25:44,0,100,1301,1,2022-03-28 00:25:44,R_ehyjYEf6B6eeYLL,anonymous,MACQ,1,2|1,1,2|1,4,1|4,2,1|2,English,3,5|1|2|3,2,4,2,1,2,3,1,5,3,5,4,3,5,3,3,2,5,5,4,5,,,,,,,,,,,,,,,,,,,,,4,2,1,1,4,1,1,2,1,4,1,1,1,1,4,4,1,1,4,4,7,4,4,18,2,,4|2|5|6|3|1,Australia,Australia,2,2|1,Macquarie University,,,,NeuroticismIntro|Ipip1|Ipip20|Ipip6|Ipip14|Ipip17|Ipip16|Ipip11|Ipip15|Ipip12|Ipip3|Ipip18|Ipip9|Ipip4|Ipip7|Ipip5|Ipip2|Ipip10|Ipip13|Ipip8|Ipip19,StressIntro|Stai20|Stai18|Stai19|Stai17|Stai7|Stai3|Stai13|Stai4|Stai8|Stai9|Stai14|Stai15|Stai11|Stai10|Stai6|Stai1|Stai16|Stai5|Stai2|Stai12
2022-03-28 00:50:15,2022-03-28 00:52:09,0,100,113,1,2022-03-28 00:52:09,R_1LjxXNT7CfBnYgX,anonymous,RADB,1,2|1,1,1|2,4,1|4,2,2|1,"Dutch ",5,1|2|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 00:52:14,2022-03-28 01:13:11,0,100,1257,1,2022-03-28 01:13:12,R_21zlpOq3dCBmyNw,anonymous,RADB,1,1|2,1,2|1,4,1|4,2,2|1,Dutch,2,1|2|5|3,2,3,3,2,5,4,3,5,4,4,4,3,4,2,3,2,4,4,2,4,0,0,919.085,0,,,,,,,,,,,,,,,,,3,2,2,1,3,1,2,2,1,3,2,1,1,1,2,3,2,1,3,3,7,3,6,18,1,,4|6|1|5|2|3,Nederland,Nederland,2,2|1,"Radboud universiteit Nijmegen ",,,,NeuroticismIntro|Ipip3|Ipip19|Ipip6|Ipip17|Ipip11|Ipip18|Ipip12|Ipip4|Ipip13|Ipip15|Ipip16|Ipip2|Ipip5|Ipip20|Ipip10|Ipip14|Ipip1|Ipip7|Ipip9|Ipip8,StressIntro|Stai15|Stai12|Stai14|Stai3|Stai2|Stai16|Stai11|Stai13|Stai8|Stai6|Stai19|Stai17|Stai10|Stai9|Stai7|Stai5|Stai20|Stai18|Stai1|Stai4
2022-03-28 02:10:53,2022-03-28 02:34:57,0,100,1443,1,2022-03-28 02:34:57,R_2tgunanG7e755ya,anonymous,RADB,1,1|2,1,2|1,4,1|4,2,1|2,German,2,5|2|1|3,2,1,2,2,1,4,2,2,1,2,3,4,5,5,5,4,5,2,4,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,9,5,7,23,1,,3|1|2|5|4|6,"Germany ","Germany ",2,1|2,"Radboud University ",,,,NeuroticismIntro|Ipip16|Ipip7|Ipip13|Ipip17|Ipip10|Ipip4|Ipip5|Ipip6|Ipip20|Ipip1|Ipip18|Ipip2|Ipip8|Ipip12|Ipip3|Ipip9|Ipip15|Ipip14|Ipip11|Ipip19,StressIntro|Stai16|Stai9|Stai7|Stai19|Stai13|Stai2|Stai11|Stai4|Stai17|Stai10|Stai18|Stai5|Stai12|Stai15|Stai14|Stai6|Stai8|Stai20|Stai1|Stai3
2022-03-28 02:41:10,2022-03-28 02:43:10,0,100,119,1,2022-03-28 02:43:10,R_24laleFACAvGFjn,anonymous,QUEE,1,2|1,2,2|1,1,1|4,2,2|1,English,3,5|3|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 02:43:20,2022-03-28 02:44:09,0,100,48,1,2022-03-28 02:44:09,R_1fdWgRw4r51LRLn,anonymous,QUEE,1,1|2,1,2|1,1,4|1,2,1|2,English,3,1|5|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 02:44:37,2022-03-28 02:45:31,0,100,53,1,2022-03-28 02:45:31,R_2t8SkLTcYfSPj2Q,anonymous,WURZ,1,1|2,1,1|2,4,1|4,1,1|2,german,2,1|2|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 02:49:03,2022-03-28 02:50:19,0,100,75,1,2022-03-28 02:50:19,R_2VvGqK4Shnpmj4m,anonymous,LIME,1,1|2,2,1|2,4,1|4,2,1|2,"English ",3,3|5|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 02:18:53,2022-03-28 02:58:35,0,100,2381,1,2022-03-28 02:58:35,R_6gmjv8keYzDkECJ,anonymous,QUEE,1,1|2,1,2|1,4,4|1,2,1|2,Korean,3,1|3|5|2,2,2,1,1,3,3,2,2,3,1,3,4,3,4,4,5,2,4,5,4,0,0,934.64,0,,,,,,,,,,,,,,,,,4,4,1,1,1,1,2,4,1,4,4,1,2,2,4,4,1,1,4,4,7,3,6,18,1,,1|4|3|2|5|6,South Korea,Australia,2,2|1,University of Queensland,,,,NeuroticismIntro|Ipip5|Ipip12|Ipip8|Ipip3|Ipip17|Ipip10|Ipip13|Ipip16|Ipip11|Ipip19|Ipip18|Ipip4|Ipip2|Ipip7|Ipip14|Ipip15|Ipip6|Ipip20|Ipip1|Ipip9,StressIntro|Stai4|Stai5|Stai7|Stai8|Stai9|Stai3|Stai11|Stai20|Stai16|Stai10|Stai18|Stai17|Stai6|Stai15|Stai14|Stai1|Stai12|Stai19|Stai2|Stai13
2022-03-28 02:44:13,2022-03-28 03:03:01,0,100,1128,1,2022-03-28 03:03:02,R_2TABGL1pVs1ED3I,anonymous,QUEE,1,2|1,1,1|2,4,4|1,2,1|2,English,3,1|2|5|3,3,3,2,3,3,2,3,3,3,3,3,3,4,4,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,4,3,2,1,3,2,2,2,1,3,3,1,1,2,4,3,2,2,3,3,8,2,6,18,2,,3|1|6|4|2|5,Australia,Australia,2,2|1,University of Queensland,,,,NeuroticismIntro|Ipip14|Ipip1|Ipip3|Ipip16|Ipip4|Ipip12|Ipip19|Ipip7|Ipip15|Ipip13|Ipip8|Ipip2|Ipip17|Ipip20|Ipip5|Ipip9|Ipip11|Ipip10|Ipip18|Ipip6,StressIntro|Stai10|Stai18|Stai5|Stai3|Stai9|Stai14|Stai20|Stai19|Stai15|Stai8|Stai12|Stai4|Stai6|Stai16|Stai17|Stai11|Stai1|Stai2|Stai13|Stai7
2022-03-28 03:38:33,2022-03-28 03:39:01,0,100,27,1,2022-03-28 03:39:01,R_2afwpiDUnTIn3RH,anonymous,QUEE,1,1|2,2,2|1,4,1|4,1,1|2,English,3,3|2|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
